,property,value,unit
0,n,20000.0,rpm
1,H_opt,1200.0,m
2,Q_opt,0.063,m3/s
3,rho,72.0,kg/s
4,nq,24.621490260524585,
5,eta,81.80160943563351,%
6,eta_hy,90.34264680996422,%
7,P,65277.189982449716,W
8,dw_min,21.95362609312921,mm
9,dw,25.0,mm
10,Psi_opt,1.0010354202804532,
11,D2,146.45569633788986,mm
12,D1,70.2121471867288,mm
13,c1m,18.633874922613604,m/s
14,u1,73.52598859819749,m/s
15,beta1,14.221192388844235,°
16,b2,11.247412869107215,mm
17,c2m,0.012173957218133268,m/s
18,u2,153.36804656383077,m/s
19,c2u,84.96157550496932,m/s
20,beta2,24.0,°
21,e,3.222025319433577,mm
22,Ze,23.487213947754356,mm
