,angle,R
0,0,0.0
1,10,0.0030056539204294866
2,20,0.004250636538071243
3,30,0.005205945300152454
4,40,0.006011307840858973
5,50,0.006720846482919075
6,60,0.0073623184484480735
7,70,0.00795221280058274
8,80,0.008501273076142487
9,90,0.00901696176128846
10,100,0.009504712246771673
11,110,0.009968626303725331
12,120,0.010411890600304908
13,130,0.010837039326407874
14,140,0.011246127193461044
15,150,0.011640847578286434
16,160,0.012022615681717946
17,170,0.012392628587982592
18,180,0.012751909614213729
19,190,0.013101341698408972
20,200,0.01344169296583815
21,210,0.013773636603208898
22,220,0.014097766516957539
23,230,0.01441460981976419
24,240,0.014724636896896147
25,250,0.015028269602147431
26,260,0.015325887991376606
27,270,0.015617835900457363
28,280,0.01590442560116548
29,290,0.01618594171472272
30,300,0.016462644522730673
31,310,0.016734772785167638
32,320,0.017002546152284973
33,330,0.017266167239719812
34,340,0.01752582342257752
35,350,0.017781688393646987
